proteina,importancia,Cluster
AO-A12B.34TCGA,0.22121417267153573,Cluster 0
C8-A134.32TCGA,0.04724909950859557,Cluster 0
A2-A0CM.07TCGA,0.046866631988235555,Cluster 0
AO-A12B.01TCGA,0.03438718628391229,Cluster 0
C8-A131.01TCGA,0.0323754064984793,Cluster 0
BH-A18N.27TCGA,0.029815390779014142,Cluster 0
A2-A0D2.31TCGA,0.02852905234682567,Cluster 0
D8-A142.18TCGA,0.023858188644793162,Cluster 0
E2-A154.03TCGA,0.022337651802524675,Cluster 0
AO-A12F.22TCGA,0.021566429394655483,Cluster 0
A2-A0YD.24TCGA,0.01955114147094604,Cluster 0
blcdb9-I.CPTAC,0.018097512020230615,Cluster 0
A8-A079.23TCGA,0.017530791499817833,Cluster 0
AR-A0U4.09TCGA,0.013309626461632553,Cluster 0
C8-A12V.30TCGA,0.013170028012381154,Cluster 0
E2-A158.29TCGA,0.012962452096321983,Cluster 0
AO-A12E.26TCGA,0.012783298999477041,Cluster 0
C8-A12L.04TCGA,0.012108192447399455,Cluster 0
AO-A0J6.11TCGA,0.011883076649434814,Cluster 0
C8-A12Z.20TCGA,0.011457342708884665,Cluster 0
263d3f-I.CPTAC,0.010822270598732794,Cluster 0
A8-A076.15TCGA,0.010795591401491845,Cluster 0
BH-A0DG.19TCGA,0.010381975917487555,Cluster 0
C8-A131.32TCGA,0.01033370286858399,Cluster 0
BH-A0DD.33TCGA,0.01003021678439358,Cluster 0
AN-A0FK.11TCGA,0.009441713329158618,Cluster 0
A2-A0T6.29TCGA,0.008987703862101805,Cluster 0
AO-A12D.01TCGA,0.00877045904490214,Cluster 0
AO-A0JC.14TCGA,0.008655869188086989,Cluster 0
BH-A0C7.36TCGA,0.008564892185697864,Cluster 0
A7-A0CE.13TCGA,0.008176460634339066,Cluster 0
AR-A0TT.34TCGA,0.007961671535542579,Cluster 0
AO-A0J9.10TCGA,0.00771471887116793,Cluster 0
AO-A126.15TCGA,0.0077135403148389636,Cluster 0
E2-A15A.29TCGA,0.007531736708648003,Cluster 0
C8-A12U.31TCGA,0.007328473022742923,Cluster 0
C8-A130.02TCGA,0.007118308717203325,Cluster 0
A8-A08Z.14TCGA,0.006779580062821341,Cluster 0
AR-A1AV.17TCGA,0.006681851991197883,Cluster 0
A2-A0EQ.08TCGA,0.006597259619143386,Cluster 0
AR-A1AW.17TCGA,0.006434312007627544,Cluster 0
A8-A09G.32TCGA,0.006430877159013155,Cluster 0
BH-A18Q.02TCGA,0.006248087940902668,Cluster 0
AO-A0JL.35TCGA,0.006123124529633943,Cluster 0
AR-A1AP.11TCGA,0.006105558850559591,Cluster 0
AR-A0TV.20TCGA,0.005959600180319804,Cluster 0
AR-A0TR.25TCGA,0.005879052500740808,Cluster 0
A2-A0EX.04TCGA,0.00557710448170613,Cluster 0
C8-A12T.06TCGA,0.005568031866649351,Cluster 0
AN-A0AJ.21TCGA,0.0054033089191587455,Cluster 0
BH-A0E1.12TCGA,0.005379914598972459,Cluster 0
A2-A0EY.16TCGA,0.005336292633780945,Cluster 0
AO-A0JE.21TCGA,0.005330785023648333,Cluster 0
A2-A0YC.13TCGA,0.005270865246195079,Cluster 0
AO-A0J6.11TCGA,0.2895526654906316,Cluster 1
BH-A0AV.05TCGA,0.09762541388796933,Cluster 1
A2-A0YD.24TCGA,0.07652285503379426,Cluster 1
BH-A0E9.33TCGA,0.04602726691412971,Cluster 1
A2-A0YM.36TCGA,0.035313871860574,Cluster 1
AR-A1AW.17TCGA,0.03065475844245787,Cluster 1
263d3f-I.CPTAC,0.02694332773097192,Cluster 1
BH-A0E1.12TCGA,0.02171301505746546,Cluster 1
AR-A0TX.14TCGA,0.020330217611702128,Cluster 1
A2-A0EX.04TCGA,0.020146103686871156,Cluster 1
D8-A142.18TCGA,0.019964030491713754,Cluster 1
A2-A0T6.29TCGA,0.015225105291383018,Cluster 1
c4155b-C.CPTAC,0.012861112006247304,Cluster 1
C8-A12Z.20TCGA,0.012739760373790276,Cluster 1
A2-A0EV.18TCGA,0.01187429683976079,Cluster 1
AN-A0FL.19TCGA,0.009690158232894335,Cluster 1
AO-A0JC.14TCGA,0.009623707217951243,Cluster 1
blcdb9-I.CPTAC,0.009031330363223138,Cluster 1
