Term,Frequency
better,116
non-monetary,1
benefits,25
company,37
outings,13
safety,1
meeting,2
discussing,1
wha,1
careerpromotions,122
dont,16
want,2
answer,5
board,2
members,1
listen,67
pay,243
even,5
new,4
employee,23
starts,1
recognize,15
good,26
works,8
boot,1
planning,1
retire,1
day,2
c,4
treat,27
employees,79
respect,20
higher,15
wage,4
pension,186
know,16
401k,15
raise,21
industry,7
standard,7
im,4
satisfied,2
sponsored,7
after-work,6
eve,5
incentives,25
could,14
communicate,4
let,2
us,12
reward,12
benefit,21
allow,4
advancement,3
take,38
action,35
practice,1
preach,1
hold,1
th,3
nc,1
raised,1
social,97
events,100
focused,1
performance,12
across,2
busi,1
need,7
training,6
up-to-date,1
skills,2
periodic,1
extra,1
offer,27
fair,3
compensation,16
like,9
many,4
ot,1
vacation,22
time,29
would,9
change,2
one,3
w,4
retirement,3
fund,1
make,11
perks,8
appealing,3
stop,8
rewarding,1
give,14
credit,1
childcare,9
support,8
rollover,15
wages,2
cost,3
living,2
raises,11
insurance,7
appre,1
perk,12
quit,1
promoting,1
worst,1
manageme,1
activities,5
reorganizing,1
every,3
year,4
two,1
education,9
reimbursement,12
occasional,1
focus,2
groups,1
get,10
idea,2
flexible,9
working,10
hours,10
provide,7
act,6
keep,10
longe,4
previous,4
question,2
transparency,1
honesty,1
management,13
actually,6
believe,1
whole,1
state,1
bri,1
nil,1
show,2
actively,1
suggesti,1
informed,2
occurring,1
unknown,1
comment,17
something,2
promote,1
within,1
secretiv,1
college,5
hard,3
identify,1
words,1
much,7
probl,1
yes,3
treatment,1
non,1
sales,4
na,1
improve,14
communication,24
intra,1
departments,5
think,11
mostly,1
happy,3
far,5
improving,2
work,16
environment,1
offi,1
sure,7
meals,1
everyone,2
subsistence,1
drastically,1
sourcing,1
jobs,1
remain,1
flex,2
twice,1
rules,1
must,1
f,2
facilities,303
acknowledgement,2
merit,2
ad,1
selecting,1
level,2
people,10
respond,8
concerns,7
offe,1
little,1
bonus,11
syste,1
honest,1
package,8
healthcare,6
may,1
verbal,1
praise,1
things,2
ri,1
encouragement,2
staff,4
development,2
tim,1
frequent,1
increase,14
see,3
plan,1
group,1
togethers,1
feel,3
subcontracts,1
outing,8
job,14
retaining,1
none,9
yearly,3
event,1
spouses,1
matching,2
less,5
politics,2
emphasis,2
frequently,1
review,5
overall,1
structure,2
proactive,1
role,1
career,4
bout,1
giving,5
satisfaction,9
never,1
picnic,1
place,3
interesting,1
fish,1
maybe,2
official,1
entirely,1
certain,1
everything,2
cool,1
penalized,1
taking,1
gave,2
everybody,1
ins,1
free,4
lunches,2
salaries,3
equivalent,1
offered,1
