ID,zn,chas,rm,dis,rad,tax
3,0,0,7.185,4.9671,2,242
6,0,0,6.43,6.0622,3,222
8,12.5,0,6.172,5.9505,5,311
9,12.5,0,5.631,6.0821,5,311
10,12.5,0,6.004,6.5921,5,311
18,0,0,5.99,4.2579,4,307
20,0,0,5.727,3.7965,4,307
25,0,0,5.924,4.3996,4,307
26,0,0,5.599,4.4546,4,307
27,0,0,5.813,4.682,4,307
29,0,0,6.495,4.4547,4,307
30,0,0,6.674,4.239,4,307
33,0,0,5.95,3.99,4,307
34,0,0,5.701,3.7872,4,307
36,0,0,5.933,3.3603,5,279
37,0,0,5.841,3.3779,5,279
38,0,0,5.85,3.9342,5,279
42,0,0,6.77,5.7209,3,233
49,0,0,5.399,5.87,3,233
53,21,0,6.511,6.8147,4,243
60,25,0,5.927,6.932,8,284
63,25,0,6.456,7.2255,8,284
70,12.5,0,5.885,6.498,4,345
72,0,0,5.961,5.2873,4,305
79,0,0,6.232,5.0141,5,398
80,0,0,5.874,4.5026,5,398
83,25,0,6.302,5.4007,4,281
92,0,0,6.405,3.0921,2,270
93,28,0,6.442,3.6659,4,270
96,0,0,6.625,3.4952,2,276
98,0,0,8.069,3.4952,2,276
99,0,0,7.82,3.4952,2,276
100,0,0,7.416,3.4952,2,276
105,0,0,6.167,2.421,5,384
106,0,0,5.851,2.1069,5,384
111,0,0,6.195,2.7778,5,384
113,0,0,5.913,2.3534,6,432
114,0,0,6.092,2.548,6,432
116,0,0,5.928,2.4631,6,432
126,0,0,5.986,1.9929,2,188
130,0,0,5.637,1.9799,4,437
131,0,0,6.458,2.1185,4,437
133,0,0,6.372,2.3274,4,437
136,0,0,6.335,2.1107,4,437
141,0,0,6.174,1.6119,4,437
144,0,0,5.468,1.4118,5,403
145,0,0,4.903,1.3459,5,403
147,0,0,5.628,1.5166,5,403
152,0,0,5.404,1.5916,5,403
153,0,1,5.012,1.6102,5,403
156,0,1,6.152,1.7455,5,403
158,0,0,6.943,1.8773,5,403
163,0,1,7.802,2.0407,5,403
169,0,0,6.319,2.1,5,403
185,0,0,5.604,2.9879,3,193
186,0,0,6.153,3.2797,3,193
189,45,0,6.556,4.5667,5,398
196,80,0,7.875,5.6484,4,255
197,80,0,7.287,7.309,2,329
199,80,0,7.274,7.309,2,329
200,95,0,6.975,7.6534,3,402
203,82.5,0,7.61,6.27,2,348
208,0,0,5.783,4.3549,4,277
210,0,1,5.344,3.875,4,277
211,0,1,5.96,3.8771,4,277
213,0,1,5.807,3.6526,4,277
216,0,0,6.182,3.9454,4,277
218,0,0,6.642,3.4211,5,276
219,0,1,5.951,2.8893,5,276
220,0,1,6.373,3.3633,5,276
221,0,1,6.951,2.8617,8,307
229,0,0,7.686,3.3751,8,307
232,0,0,7.412,3.6715,8,307
238,0,0,7.358,4.148,8,307
239,30,0,6.481,6.1899,6,300
240,30,0,6.606,6.1899,6,300
242,30,0,6.095,6.3361,6,300
246,22,0,5.605,7.9549,7,330
248,22,0,6.226,8.0555,7,330
253,22,0,6.957,8.9067,7,330
255,80,0,6.108,9.2203,1,315
256,80,0,5.876,9.2203,1,315
257,90,0,7.454,6.3361,3,244
258,20,0,8.704,1.801,5,264
259,20,0,7.333,1.8946,5,264
260,20,0,6.842,2.0107,5,264
268,20,0,8.297,2.4216,5,264
270,20,1,5.92,3.9175,3,223
271,20,0,5.856,4.429,3,223
276,40,0,6.854,4.2673,4,254
277,40,1,7.267,4.7872,4,254
278,40,1,6.826,4.8628,4,254
279,40,0,6.482,4.1403,4,254
281,20,0,7.82,4.6947,5,216
288,52.5,0,6.209,7.3172,6,293
290,52.5,0,6.565,7.3172,6,293
292,80,0,7.148,5.1167,4,245
295,0,0,6.009,5.5027,4,289
296,0,0,6.678,5.9604,4,289
299,70,0,6.345,7.8278,5,358
300,70,0,7.041,7.8278,5,358
301,70,0,6.871,7.8278,5,358
308,33,0,6.849,3.1827,7,222
314,0,0,6.266,3.2628,4,304
315,0,0,6.567,3.6023,4,304
320,0,0,6.113,4.0019,4,304
322,0,0,6.376,4.5404,5,287
323,0,0,6.041,4.7211,5,287
324,0,0,5.708,4.7211,5,287
327,0,0,6.312,5.4159,5,287
330,0,0,6.333,5.2146,4,430
332,35,0,5.706,6.6407,1,304
333,35,0,6.031,6.6407,1,304
336,0,0,6.037,5.9853,5,224
338,0,0,5.895,5.615,5,224
346,0,0,6.014,8.0136,3,352
347,0,0,5.898,8.0136,3,352
351,40,0,6.49,8.7921,1,335
352,60,0,6.579,10.7103,4,411
354,90,0,6.728,12.1265,5,187
355,80,0,5.663,10.5857,4,334
356,80,0,5.936,10.5857,4,334
362,0,0,6.251,2.2955,24,666
364,0,1,5.803,1.9047,24,666
365,0,1,8.78,1.9047,24,666
370,0,1,6.683,1.3567,24,666
376,0,0,7.313,1.3163,24,666
379,0,0,6.38,1.3861,24,666
380,0,0,6.223,1.3861,24,666
381,0,0,6.968,1.4165,24,666
382,0,0,6.545,1.5192,24,666
386,0,0,5.277,1.4261,24,666
389,0,0,4.88,1.5895,24,666
391,0,0,5.713,1.9265,24,666
394,0,0,6.193,1.7912,24,666
396,0,0,6.471,1.7257,24,666
398,0,0,5.747,1.6334,24,666
400,0,0,5.852,1.5004,24,666
403,0,0,6.404,1.639,24,666
405,0,0,5.531,1.6074,24,666
406,0,0,5.683,1.4254,24,666
407,0,0,4.138,1.1781,24,666
410,0,0,6.852,1.4655,24,666
411,0,0,5.757,1.413,24,666
412,0,0,6.657,1.5275,24,666
413,0,0,4.628,1.5539,24,666
417,0,0,6.782,1.8195,24,666
421,0,0,6.411,1.8589,24,666
422,0,0,6.006,1.8746,24,666
423,0,0,5.648,1.9512,24,666
424,0,0,6.103,2.0218,24,666
427,0,0,5.837,1.9976,24,666
431,0,0,6.348,2.0527,24,666
436,0,0,6.629,2.1247,24,666
437,0,0,6.461,2.0026,24,666
439,0,0,5.935,1.8206,24,666
447,0,0,6.341,2.072,24,666
450,0,0,6.417,2.185,24,666
451,0,0,6.749,2.3236,24,666
455,0,0,6.728,2.4961,24,666
457,0,0,5.976,2.5806,24,666
471,0,0,6.167,3.0334,24,666
474,0,0,6.98,2.5329,24,666
476,0,0,6.162,2.206,24,666
483,0,0,7.061,3.4106,24,666
486,0,0,6.312,3.9917,24,666
490,0,0,5.414,1.7554,4,711
495,0,0,5.926,2.3817,6,391
496,0,0,5.67,2.7986,6,391
497,0,0,5.39,2.7986,6,391
499,0,0,6.019,2.4091,6,391
501,0,0,6.027,2.4982,6,391
505,0,0,6.794,2.3889,1,273
