ID,crim,indus,nox,age,ptratio,black,lstat
3,0.02729,7.07,0.469,61.1,17.8,392.83,4.03
6,0.02985,2.18,0.458,58.7,18.7,394.12,5.21
8,0.14455,7.87,0.524,96.1,15.2,396.9,19.15
9,0.21124,7.87,0.524,100,15.2,386.63,29.93
10,0.17004,7.87,0.524,85.9,15.2,386.71,17.1
18,0.7842,8.14,0.538,81.7,21,386.75,14.67
20,0.7258,8.14,0.538,69.5,21,390.95,11.28
25,0.75026,8.14,0.538,94.1,21,394.33,16.3
26,0.84054,8.14,0.538,85.7,21,303.42,16.51
27,0.67191,8.14,0.538,90.3,21,376.88,14.81
29,0.77299,8.14,0.538,94.4,21,387.94,12.8
30,1.00245,8.14,0.538,87.3,21,380.23,11.98
33,1.38799,8.14,0.538,82,21,232.6,27.71
34,1.15172,8.14,0.538,95,21,358.77,18.35
36,0.06417,5.96,0.499,68.2,19.2,396.9,9.68
37,0.09744,5.96,0.499,61.4,19.2,377.56,11.41
38,0.08014,5.96,0.499,41.5,19.2,396.9,8.77
42,0.12744,6.91,0.448,2.9,17.9,385.41,4.84
49,0.25387,6.91,0.448,95.3,17.9,396.9,30.81
53,0.0536,5.64,0.439,21.1,16.8,396.9,5.28
60,0.10328,5.13,0.453,47.2,19.7,396.9,9.22
63,0.11027,5.13,0.453,67.8,19.7,396.9,6.73
70,0.12816,6.07,0.409,33,18.9,396.9,8.79
72,0.15876,10.81,0.413,17.5,19.2,376.94,9.88
79,0.05646,12.83,0.437,53.7,18.7,386.4,12.34
80,0.08387,12.83,0.437,36.6,18.7,396.06,9.1
83,0.03659,4.86,0.426,32.2,19,396.9,6.72
92,0.03932,3.41,0.489,73.9,17.8,393.55,8.2
93,0.04203,15.04,0.464,53.6,18.2,395.01,8.16
96,0.12204,2.89,0.445,57.8,18,357.98,6.65
98,0.12083,2.89,0.445,76,18,396.9,4.21
99,0.08187,2.89,0.445,36.9,18,393.53,3.57
100,0.0686,2.89,0.445,62.5,18,396.9,6.19
105,0.1396,8.56,0.52,90,20.9,392.69,12.33
106,0.13262,8.56,0.52,96.7,20.9,394.05,16.47
111,0.10793,8.56,0.52,54.4,20.9,393.49,13
113,0.12329,10.01,0.547,92.9,17.8,394.95,16.21
114,0.22212,10.01,0.547,95.4,17.8,396.9,17.09
116,0.17134,10.01,0.547,88.2,17.8,344.91,15.76
126,0.16902,25.65,0.581,88.4,19.1,385.02,14.81
130,0.88125,21.89,0.624,94.7,21.2,396.9,18.34
131,0.34006,21.89,0.624,98.9,21.2,395.04,12.6
133,0.59005,21.89,0.624,97.9,21.2,385.76,11.12
136,0.55778,21.89,0.624,98.2,21.2,394.67,16.96
141,0.2909,21.89,0.624,93.6,21.2,388.08,24.16
144,4.0974,19.58,0.871,100,14.7,396.9,26.42
145,2.77974,19.58,0.871,97.8,14.7,396.9,29.29
147,2.15505,19.58,0.871,100,14.7,169.27,16.65
152,1.49632,19.58,0.871,100,14.7,341.6,13.28
153,1.12658,19.58,0.871,88,14.7,343.28,12.12
156,3.53501,19.58,0.871,82.6,14.7,88.01,15.02
158,1.22358,19.58,0.605,97.4,14.7,363.43,4.59
163,1.83377,19.58,0.605,98.2,14.7,389.61,1.92
169,2.3004,19.58,0.605,96.1,14.7,297.09,11.1
185,0.08308,2.46,0.488,89.8,17.8,391,13.98
186,0.06047,2.46,0.488,68.8,17.8,387.11,13.15
189,0.12579,3.44,0.437,29.1,15.2,382.84,4.56
196,0.01381,0.46,0.422,32,14.4,394.23,2.97
197,0.04011,1.52,0.404,34.1,12.6,396.9,4.08
199,0.03768,1.52,0.404,38.3,12.6,392.2,6.62
200,0.0315,1.47,0.403,15.3,17,396.9,4.56
203,0.02177,2.03,0.415,15.7,14.7,395.38,3.11
208,0.25199,10.59,0.489,72.7,18.6,389.43,18.06
210,0.43571,10.59,0.489,100,18.6,396.9,23.09
211,0.17446,10.59,0.489,92.1,18.6,393.25,17.27
213,0.21719,10.59,0.489,53.8,18.6,390.94,16.03
216,0.19802,10.59,0.489,42.4,18.6,393.63,9.47
218,0.07013,13.89,0.55,85.1,16.4,392.78,9.69
219,0.11069,13.89,0.55,93.8,16.4,396.9,17.92
220,0.11425,13.89,0.55,92.4,16.4,393.74,10.5
221,0.35809,6.2,0.507,88.5,17.4,391.7,9.71
229,0.29819,6.2,0.504,17,17.4,377.51,3.92
232,0.46296,6.2,0.504,76.9,17.4,376.14,5.25
238,0.51183,6.2,0.507,71.6,17.4,390.07,4.73
239,0.08244,4.93,0.428,18.5,16.6,379.41,6.36
240,0.09252,4.93,0.428,42.2,16.6,383.78,7.37
242,0.10612,4.93,0.428,65.1,16.6,394.62,12.4
246,0.19133,5.86,0.431,70.2,19.1,389.13,18.46
248,0.19657,5.86,0.431,79.2,19.1,376.14,10.15
253,0.08221,5.86,0.431,6.8,19.1,386.09,3.53
255,0.04819,3.64,0.392,32,16.4,392.89,6.57
256,0.03548,3.64,0.392,19.1,16.4,395.18,9.25
257,0.01538,3.75,0.394,34.2,15.9,386.34,3.11
258,0.61154,3.97,0.647,86.9,13,389.7,5.12
259,0.66351,3.97,0.647,100,13,383.29,7.79
260,0.65665,3.97,0.647,100,13,391.93,6.9
268,0.57834,3.97,0.575,67,13,384.54,7.44
270,0.09065,6.96,0.464,61.5,18.6,391.34,13.65
271,0.29916,6.96,0.464,42.1,18.6,388.65,13
276,0.09604,6.41,0.447,42.8,17.6,396.9,2.98
277,0.10469,6.41,0.447,49,17.6,389.25,6.05
278,0.06127,6.41,0.447,27.6,17.6,393.45,4.16
279,0.07978,6.41,0.447,32.1,17.6,396.9,7.19
281,0.03578,3.33,0.4429,64.5,14.9,387.31,3.76
288,0.03871,5.32,0.405,31.3,16.6,396.9,7.14
290,0.04297,5.32,0.405,22.9,16.6,371.72,9.51
292,0.07886,4.95,0.411,27.7,19.2,396.9,3.56
295,0.08199,13.92,0.437,42.3,16,396.9,10.4
296,0.12932,13.92,0.437,31.1,16,396.9,6.27
299,0.06466,2.24,0.4,20.1,14.8,368.24,4.97
300,0.05561,2.24,0.4,10,14.8,371.58,4.74
301,0.04417,2.24,0.4,47.4,14.8,390.86,6.07
308,0.04932,2.18,0.472,70.3,18.4,396.9,7.53
314,0.26938,9.9,0.544,82.8,18.4,393.39,7.9
315,0.3692,9.9,0.544,87.3,18.4,395.69,9.28
320,0.47547,9.9,0.544,58.8,18.4,396.23,12.73
322,0.18159,7.38,0.493,54.3,19.6,396.9,6.87
323,0.35114,7.38,0.493,49.9,19.6,396.9,7.7
324,0.28392,7.38,0.493,74.3,19.6,391.13,11.74
327,0.30347,7.38,0.493,28.9,19.6,396.9,6.15
330,0.06724,3.24,0.46,17.2,16.9,375.21,7.34
332,0.05023,6.06,0.4379,28.4,16.9,394.02,12.43
333,0.03466,6.06,0.4379,23.3,16.9,362.25,7.83
336,0.03961,5.19,0.515,34.5,20.2,396.9,8.01
338,0.03041,5.19,0.515,59.6,20.2,394.81,10.56
346,0.03113,4.39,0.442,48.5,18.8,385.64,10.53
347,0.06162,4.39,0.442,52.3,18.8,364.61,12.67
351,0.06211,1.25,0.429,44.4,19.7,396.9,5.98
352,0.0795,1.69,0.411,35.9,18.3,370.78,5.49
354,0.01709,2.02,0.41,36.1,17,384.46,4.5
355,0.04301,1.91,0.413,21.9,22,382.8,8.05
356,0.10659,1.91,0.413,19.5,22,376.04,5.57
362,3.83684,18.1,0.77,91.1,20.2,350.65,14.19
364,4.22239,18.1,0.77,89,20.2,353.04,14.64
365,3.47428,18.1,0.718,82.9,20.2,354.55,5.29
370,5.66998,18.1,0.631,96.8,20.2,375.33,3.73
376,19.6091,18.1,0.671,97.9,20.2,396.9,13.44
379,23.6482,18.1,0.671,96.2,20.2,396.9,23.69
380,17.8667,18.1,0.671,100,20.2,393.74,21.78
