ID,zn,chas,rm,dis,rad,tax,medv
1,18,0,6.575,4.09,1,296,24
2,0,0,6.421,4.9671,2,242,21.6
4,0,0,6.998,6.0622,3,222,33.4
5,0,0,7.147,6.0622,3,222,36.2
7,12.5,0,6.012,5.5605,5,311,22.9
11,12.5,0,6.377,6.3467,5,311,15
12,12.5,0,6.009,6.2267,5,311,18.9
13,12.5,0,5.889,5.4509,5,311,21.7
14,0,0,5.949,4.7075,4,307,20.4
15,0,0,6.096,4.4619,4,307,18.2
16,0,0,5.834,4.4986,4,307,19.9
17,0,0,5.935,4.4986,4,307,23.1
19,0,0,5.456,3.7965,4,307,20.2
21,0,0,5.57,3.7979,4,307,13.6
22,0,0,5.965,4.0123,4,307,19.6
23,0,0,6.142,3.9769,4,307,15.2
24,0,0,5.813,4.0952,4,307,14.5
28,0,0,6.047,4.4534,4,307,14.8
31,0,0,5.713,4.233,4,307,12.7
32,0,0,6.072,4.175,4,307,14.5
35,0,0,6.096,3.7598,4,307,13.5
39,0,0,5.966,3.8473,5,279,24.7
40,75,0,6.595,5.4011,3,252,30.8
41,75,0,7.024,5.4011,3,252,34.9
43,0,0,6.169,5.7209,3,233,25.3
44,0,0,6.211,5.7209,3,233,24.7
45,0,0,6.069,5.7209,3,233,21.2
46,0,0,5.682,5.1004,3,233,19.3
47,0,0,5.786,5.1004,3,233,20
48,0,0,6.03,5.6894,3,233,16.6
50,0,0,5.602,6.0877,3,233,19.4
51,21,0,5.963,6.8147,4,243,19.7
52,21,0,6.115,6.8147,4,243,20.5
54,21,0,5.998,6.8147,4,243,23.4
55,75,0,5.888,7.3197,3,469,18.9
56,90,0,7.249,8.6966,5,226,35.4
57,85,0,6.383,9.1876,2,313,24.7
58,100,0,6.816,8.3248,5,256,31.6
59,25,0,6.145,7.8148,8,284,23.3
61,25,0,5.741,7.2254,8,284,18.7
62,25,0,5.966,6.8185,8,284,16
64,25,0,6.762,7.9809,8,284,25
65,17.5,0,7.104,9.2229,3,216,33
66,80,0,6.29,6.6115,4,337,23.5
67,80,0,5.787,6.6115,4,337,19.4
68,12.5,0,5.878,6.498,4,345,22
69,12.5,0,5.594,6.498,4,345,17.4
71,0,0,6.417,5.2873,4,305,24.2
73,0,0,6.065,5.2873,4,305,22.8
74,0,0,6.245,5.2873,4,305,23.4
75,0,0,6.273,4.2515,5,398,24.1
76,0,0,6.286,4.5026,5,398,21.4
77,0,0,6.279,4.0522,5,398,20
78,0,0,6.14,4.0905,5,398,20.8
81,25,0,6.727,5.4007,4,281,28
82,25,0,6.619,5.4007,4,281,23.9
84,25,0,6.167,5.4007,4,281,22.9
85,0,0,6.389,4.7794,3,247,23.9
86,0,0,6.63,4.4377,3,247,26.6
87,0,0,6.015,4.4272,3,247,22.5
88,0,0,6.121,3.7476,3,247,22.2
89,0,0,7.007,3.4217,2,270,23.6
90,0,0,7.079,3.4145,2,270,28.7
91,0,0,6.417,3.0923,2,270,22.6
94,28,0,6.211,3.6659,4,270,25
95,28,0,6.249,3.615,4,270,20.6
97,0,0,6.163,3.4952,2,276,21.4
101,0,0,6.727,2.7778,5,384,27.5
102,0,0,6.781,2.8561,5,384,26.5
103,0,0,6.405,2.7147,5,384,18.6
104,0,0,6.137,2.7147,5,384,19.3
107,0,0,5.836,2.211,5,384,19.5
108,0,0,6.127,2.1224,5,384,20.4
109,0,0,6.474,2.4329,5,384,19.8
110,0,0,6.229,2.5451,5,384,19.4
112,0,0,6.715,2.6775,6,432,22.8
115,0,0,6.254,2.2565,6,432,18.5
117,0,0,6.176,2.7301,6,432,21.2
118,0,0,6.021,2.7474,6,432,19.2
119,0,0,5.872,2.4775,6,432,20.4
120,0,0,5.731,2.7592,6,432,19.3
121,0,0,5.87,2.2577,2,188,22
122,0,0,6.004,2.1974,2,188,20.3
123,0,0,5.961,2.0869,2,188,20.5
124,0,0,5.856,1.9444,2,188,17.3
125,0,0,5.879,2.0063,2,188,18.8
127,0,0,5.613,1.7572,2,188,15.7
128,0,0,5.693,1.7883,4,437,16.2
129,0,0,6.431,1.8125,4,437,18
132,0,0,6.326,2.271,4,437,19.6
134,0,0,5.822,2.4699,4,437,18.4
135,0,0,5.757,2.346,4,437,15.6
137,0,0,5.942,1.9669,4,437,17.4
138,0,0,6.454,1.8498,4,437,17.1
139,0,0,5.857,1.6686,4,437,13.3
140,0,0,6.151,1.6687,4,437,17.8
142,0,0,5.019,1.4394,4,437,14.4
143,0,1,5.403,1.3216,5,403,13.4
146,0,0,6.13,1.4191,5,403,13.8
148,0,0,4.926,1.4608,5,403,14.6
149,0,0,5.186,1.5296,5,403,17.8
150,0,0,5.597,1.5257,5,403,15.4
151,0,0,6.122,1.618,5,403,21.5
154,0,0,5.709,1.6232,5,403,19.4
155,0,1,6.129,1.7494,5,403,17
157,0,0,5.272,1.7364,5,403,13.1
159,0,0,6.066,1.7573,5,403,24.3
160,0,0,6.51,1.7659,5,403,23.3
161,0,1,6.25,1.7984,5,403,27
162,0,0,7.489,1.9709,5,403,50
164,0,1,8.375,2.162,5,403,50
165,0,0,5.854,2.422,5,403,22.7
166,0,0,6.101,2.2834,5,403,25
167,0,0,7.929,2.0459,5,403,50
168,0,0,5.877,2.4259,5,403,23.8
170,0,0,6.402,2.2625,5,403,22.3
171,0,0,5.875,2.4259,5,403,17.4
172,0,0,5.88,2.3887,5,403,19.1
173,0,0,5.572,2.5961,5,296,23.1
174,0,0,6.416,2.6463,5,296,23.6
175,0,0,5.859,2.7019,5,296,22.6
176,0,0,6.546,3.1323,5,296,29.4
177,0,0,6.02,3.5549,5,296,23.2
178,0,0,6.315,3.3175,5,296,24.6
179,0,0,6.86,2.9153,5,296,29.9
180,0,0,6.98,2.829,3,193,37.2
181,0,0,7.765,2.741,3,193,39.8
182,0,0,6.144,2.5979,3,193,36.2
183,0,0,7.155,2.7006,3,193,37.9
184,0,0,6.563,2.847,3,193,32.5
187,0,0,7.831,3.1992,3,193,50
188,45,0,6.782,3.7886,5,398,32
190,45,0,7.185,4.5667,5,398,34.9
191,45,0,6.951,6.4798,5,398,37
192,45,0,6.739,6.4798,5,398,30.5
193,45,0,7.178,6.4798,5,398,36.4
194,60,0,6.8,6.2196,1,265,31.1
195,60,0,6.604,6.2196,1,265,29.1
198,80,0,7.107,7.309,2,329,30.3
201,95,0,7.135,7.6534,3,402,32.9
202,82.5,0,6.162,6.27,2,348,24.1
204,95,0,7.853,5.118,4,224,48.5
205,95,0,8.034,5.118,4,224,50
206,0,0,5.891,3.9454,4,277,22.6
207,0,0,6.326,4.3549,4,277,24.4
209,0,1,6.064,4.2392,4,277,24.4
212,0,1,5.404,3.665,4,277,19.3
214,0,0,6.375,3.9454,4,277,28.1
215,0,0,5.412,3.5875,4,277,23.7
217,0,1,5.888,3.1121,5,276,23.3
222,0,1,6.164,3.048,8,307,21.7
223,0,1,6.879,3.2721,8,307,27.5
224,0,0,6.618,3.2721,8,307,30.1
225,0,0,8.266,2.8944,8,307,44.8
226,0,0,8.725,2.8944,8,307,50
227,0,0,8.04,3.2157,8,307,37.6
228,0,0,7.163,3.2157,8,307,31.6
230,0,0,6.552,3.3751,8,307,31.5
231,0,0,5.981,3.6715,8,307,24.3
233,0,0,8.337,3.8384,8,307,41.7
234,0,0,8.247,3.6519,8,307,48.3
235,0,1,6.726,3.6519,8,307,29
236,0,0,6.086,3.6519,8,307,24
237,0,1,6.631,4.148,8,307,25.1
241,30,0,6.897,6.3361,6,300,22
243,30,0,6.358,7.0355,6,300,22.2
244,30,0,6.393,7.0355,6,300,23.7
245,22,0,5.593,7.9549,7,330,17.6
247,22,0,6.108,8.0555,7,330,24.3
249,22,0,6.433,7.8265,7,330,24.5
250,22,0,6.718,7.8265,7,330,26.2
251,22,0,6.487,7.3967,7,330,24.4
252,22,0,6.438,7.3967,7,330,24.8
