ID,crim,indus,nox,age,ptratio,black,lstat
1,0.00632,2.31,0.538,65.2,15.3,396.9,4.98
2,0.02731,7.07,0.469,78.9,17.8,396.9,9.14
4,0.03237,2.18,0.458,45.8,18.7,394.63,2.94
5,0.06905,2.18,0.458,54.2,18.7,396.9,5.33
7,0.08829,7.87,0.524,66.6,15.2,395.6,12.43
11,0.22489,7.87,0.524,94.3,15.2,392.52,20.45
12,0.11747,7.87,0.524,82.9,15.2,396.9,13.27
13,0.09378,7.87,0.524,39,15.2,390.5,15.71
14,0.62976,8.14,0.538,61.8,21,396.9,8.26
15,0.63796,8.14,0.538,84.5,21,380.02,10.26
16,0.62739,8.14,0.538,56.5,21,395.62,8.47
17,1.05393,8.14,0.538,29.3,21,386.85,6.58
19,0.80271,8.14,0.538,36.6,21,288.99,11.69
21,1.25179,8.14,0.538,98.1,21,376.57,21.02
22,0.85204,8.14,0.538,89.2,21,392.53,13.83
23,1.23247,8.14,0.538,91.7,21,396.9,18.72
24,0.98843,8.14,0.538,100,21,394.54,19.88
28,0.95577,8.14,0.538,88.8,21,306.38,17.28
31,1.13081,8.14,0.538,94.1,21,360.17,22.6
32,1.35472,8.14,0.538,100,21,376.73,13.04
35,1.61282,8.14,0.538,96.9,21,248.31,20.34
39,0.17505,5.96,0.499,30.2,19.2,393.43,10.13
40,0.02763,2.95,0.428,21.8,18.3,395.63,4.32
41,0.03359,2.95,0.428,15.8,18.3,395.62,1.98
43,0.1415,6.91,0.448,6.6,17.9,383.37,5.81
44,0.15936,6.91,0.448,6.5,17.9,394.46,7.44
45,0.12269,6.91,0.448,40,17.9,389.39,9.55
46,0.17142,6.91,0.448,33.8,17.9,396.9,10.21
47,0.18836,6.91,0.448,33.3,17.9,396.9,14.15
48,0.22927,6.91,0.448,85.5,17.9,392.74,18.8
50,0.21977,6.91,0.448,62,17.9,396.9,16.2
51,0.08873,5.64,0.439,45.7,16.8,395.56,13.45
52,0.04337,5.64,0.439,63,16.8,393.97,9.43
54,0.04981,5.64,0.439,21.4,16.8,396.9,8.43
55,0.0136,4,0.41,47.6,21.1,396.9,14.8
56,0.01311,1.22,0.403,21.9,17.9,395.93,4.81
57,0.02055,0.74,0.41,35.7,17.3,396.9,5.77
